Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,MA200,Rolling_Volatility_20D,Running_Max,Drawdown
2024-01-01,1226.38720703125,1260.25,1263.949951171875,1252.5,1261.0,733452,,,,,,1260.25,0.0
2024-01-02,1261.3709716796875,1296.199951171875,1299.0,1257.1500244140625,1261.0,3174447,0.02852604734923636,,,,,1296.199951171875,0.0
2024-01-03,1263.706787109375,1298.5999755859375,1304.6500244140625,1291.1500244140625,1296.199951171875,1699057,0.001851585021194202,,,,,1298.5999755859375,0.0
2024-01-04,1277.6710205078125,1312.949951171875,1328.5,1297.050048828125,1304.0,2851729,0.011050343335685664,,,,,1312.949951171875,0.0
2024-01-05,1265.263671875,1300.199951171875,1318.0,1287.0,1318.0,2960339,-0.009710956604720544,,,,,1312.949951171875,-0.009710956604720516
2024-01-08,1270.226806640625,1305.300048828125,1309.949951171875,1299.300048828125,1305.4000244140625,1678133,0.003922548721566388,,,,,1312.949951171875,-0.0058264995835691
2024-01-09,1288.424072265625,1324.0,1333.449951171875,1306.8499755859375,1314.949951171875,1712486,0.014326170590940768,,,,,1324.0,0.0
2024-01-10,1289.251220703125,1324.8499755859375,1333.5,1313.1500244140625,1330.050048828125,1278475,0.0006419755180797626,,,,,1324.8499755859375,0.0
2024-01-11,1280.8824462890625,1316.25,1331.9000244140625,1310.199951171875,1328.0,1320281,-0.006491282593815262,,,,,1324.8499755859375,-0.006491282593815208
2024-01-12,1290.3216552734375,1325.949951171875,1330.0,1305.550048828125,1319.0,1538242,0.007369383606362856,,,,,1325.949951171875,0.0
2024-01-15,1293.63037109375,1329.3499755859375,1340.0,1321.5999755859375,1329.199951171875,1475983,0.0025642177602989147,,,,,1329.3499755859375,0.0
2024-01-16,1278.157470703125,1313.449951171875,1331.550048828125,1307.550048828125,1330.050048828125,824502,-0.01196075127398577,,,,,1329.3499755859375,-0.011960751273985805
2024-01-17,1264.0958251953125,1299.0,1320.449951171875,1294.3499755859375,1312.0,2544642,-0.011001524008571906,,,,,1329.3499755859375,-0.022830688790256414
2024-01-18,1299.8582763671875,1335.75,1343.4000244140625,1290.0,1298.949951171875,2842572,0.02829099307159355,,,,,1335.75,0.0
2024-01-19,1299.71240234375,1335.5999755859375,1344.4000244140625,1329.1500244140625,1340.0,1605745,-0.00011231474008044362,,,,,1335.75,-0.00011231474008047913
2024-01-23,1341.26513671875,1378.300048828125,1394.5999755859375,1316.0,1316.0,4129729,0.03197070531800117,,,,,1378.300048828125,0.0
2024-01-24,1344.9630126953125,1382.0999755859375,1390.0,1360.3499755859375,1380.0,1719845,0.002756966279616302,,,,,1382.0999755859375,0.0
