ticker,sector,trade_date,open_price,high_price,low_price,close_price,volume,Daily_Return,MA20,MA50,MA200,Rolling_Volatility_20D,Running_Max,Drawdown
AXISBANK,Banking,2025-09-01,1047.6,1064.0,1047.6,1061.5,3190426,,,,,,1061.5,0.0
AXISBANK,Banking,2025-09-02,1061.5,1064.9,1049.0,1056.2,4933541,-0.004992934526613202,,,,,1061.5,-0.00499293452661324
AXISBANK,Banking,2025-09-03,1056.2,1064.9,1045.0,1054.7,8303296,-0.0014201855709146116,,,,,1061.5,-0.006406029203956622
AXISBANK,Banking,2025-09-04,1058.2,1062.2,1047.3,1050.4,8088417,-0.004076988717170771,,,,,1061.5,-0.010456900612340942
AXISBANK,Banking,2025-09-05,1056.6,1058.0,1047.8,1055.9,2849589,0.0052361005331302835,,,,,1061.5,-0.005275553462081874
AXISBANK,Banking,2025-09-08,1055.9,1063.0,1054.0,1055.5,2260147,-0.000378823752249402,,,,,1061.5,-0.005652378709373528
AXISBANK,Banking,2025-09-09,1057.5,1059.0,1048.7,1052.2,4310419,-0.0031264803410705477,,,,,1061.5,-0.008761186999528926
AXISBANK,Banking,2025-09-10,1058.0,1074.1,1055.1,1070.1,5241075,0.017011974909712846,,,,,1070.1,0.0
AXISBANK,Banking,2025-09-11,1069.0,1093.0,1069.0,1087.4,5227539,0.01616671339127196,,,,,1087.4,0.0
AXISBANK,Banking,2025-09-12,1088.4,1108.7,1088.4,1105.3,6014850,0.016461283796211035,,,,,1105.3,0.0
AXISBANK,Banking,2025-09-15,1105.0,1110.0,1100.0,1104.4,3881807,-0.000814258572333193,,,,,1105.3,-0.0008142585723331798
AXISBANK,Banking,2025-09-16,1105.7,1127.1,1104.0,1121.2,7965606,0.01521187975371241,,,,,1121.2,0.0
AXISBANK,Banking,2025-09-17,1121.3,1128.5,1116.1,1126.0,5590739,0.004281127363539028,,,,,1126.0,0.0
AXISBANK,Banking,2025-09-18,1129.0,1134.4,1121.2,1133.0,5713032,0.006216696269982336,,,,,1133.0,0.0
