Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,MA200,Rolling_Volatility_20D,Running_Max,Drawdown
2024-01-01,1429.635986328125,1551.3499755859375,1557.0,1535.25,1539.0,2808451,,,,,,1551.3499755859375,0.0
2024-01-02,1414.0159912109375,1534.4000244140625,1549.1500244140625,1523.0,1546.0,5396313,-0.010925936402888747,,,,,1551.3499755859375,-0.01092593640288877
2024-01-03,1373.099365234375,1490.0,1519.949951171875,1488.0,1519.949951171875,7550363,-0.028936407525812835,,,,,1551.3499755859375,-0.03954618658034652
2024-01-04,1394.018310546875,1512.699951171875,1519.75,1492.9000244140625,1504.949951171875,7056038,0.015234866558305304,,,,,1551.3499755859375,-0.024913800897482574
2024-01-05,1412.3111572265625,1532.550048828125,1539.699951171875,1506.25,1506.75,8895403,0.013122296752156482,,,,,1551.3499755859375,-0.012118430433926979
2024-01-08,1403.3260498046875,1522.800048828125,1536.0,1513.25,1528.949951171875,4440136,-0.006361945573950645,,,,,1551.3499755859375,-0.018403279213015315
2024-01-09,1409.3160400390625,1529.300048828125,1553.0,1525.8499755859375,1541.9000244140625,4412074,0.0042684527131464645,,,,,1551.3499755859375,-0.014213380026956424
2024-01-10,1400.6534423828125,1519.9000244140625,1535.449951171875,1505.0,1524.949951171875,4096845,-0.006146618788945735,,,,,1551.3499755859375,-0.020272634587173988
2024-01-11,1376.9698486328125,1494.199951171875,1525.0,1486.5999755859375,1524.9000244140625,11296088,-0.016909055088735303,,,,,1551.3499755859375,-0.036838898580880956
2024-01-12,1486.2188720703125,1612.75,1618.0,1555.4000244140625,1562.0,26754401,0.07934015038291786,,,,,1612.75,0.0
2024-01-15,1522.4815673828125,1652.0999755859375,1664.949951171875,1636.0,1644.949951171875,13228305,0.02439930279704705,,,,,1652.0999755859375,0.0
2024-01-16,1503.543701171875,1631.550048828125,1648.5,1625.0,1644.800048828125,6500917,-0.012438670214569902,,,,,1652.0999755859375,-0.012438670214569925
2024-01-17,1511.5150146484375,1640.199951171875,1647.5,1620.25,1620.25,9209876,0.0053016469522113585,,,,,1652.0999755859375,-0.007202968700391155
2024-01-18,1513.7269287109375,1642.5999755859375,1649.0,1628.25,1642.6500244140625,6375464,0.0014632511190770803,,,,,1652.0999755859375,-0.00575025733332555
2024-01-19,1529.0244140625,1659.199951171875,1665.5,1644.1500244140625,1651.5999755859375,4522736,0.01010591491091195,,,,,1659.199951171875,0.0
2024-01-23,1513.3121337890625,1642.1500244140625,1674.699951171875,1637.699951171875,1650.0999755859375,9401255,-0.010275992803501666,,,,,1659.199951171875,-0.010275992803501664
2024-01-24,1543.9534912109375,1675.4000244140625,1680.0,1645.0,1659.9000244140625,8999681,0.020247845510865448,,,,,1675.4000244140625,0.0
2024-01-25,1538.147705078125,1669.0999755859375,1680.550048828125,1658.0,1672.949951171875,8865304,-0.0037603251380686764,,,,,1675.4000244140625,-0.0037603251380686326
2024-01-29,1526.62841796875,1656.5999755859375,1679.3499755859375,1647.5999755859375,1665.1500244140625,4253785,-0.0074890660732361836,,,,,1675.4000244140625,-0.011221229887888977
2024-01-30,1521.8824462890625,1651.449951171875,1690.0,1648.25,1662.449951171875,4995943,-0.0031087917964268685,1591.0149963378906,,,,1675.4000244140625,-0.014295137216894549
2024-01-31,1530.591064453125,1660.9000244140625,1667.25,1638.0999755859375,1648.25,6763779,0.005722288607948212,1596.492498779297,,,0.02210440520356453,1675.4000244140625,-0.0086546495097916
2024-02-01,1527.0433349609375,1657.050048828125,1677.0,1650.3499755859375,1659.550048828125,5760011,-0.002318005617042318,1602.625,,,0.021888558129225435,1675.4000244140625,-0.010952593600656675
2024-02-02,1560.495361328125,1693.3499755859375,1718.5,1665.0,1666.050048828125,7858483,0.02190635508172134,1612.792498779297,,,0.020777294060482083,1693.3499755859375,0.0
2024-02-05,1554.8277587890625,1687.199951171875,1700.75,1681.8499755859375,1694.75,3634135,-0.00363186848715924,1621.5174987792968,,,0.020793633779499297,1693.3499755859375,-0.0036318684871592785
2024-02-06,1593.762939453125,1729.449951171875,1733.0,1673.949951171875,1686.75,7694265,0.025041489581987264,1631.3624938964845,,,0.02118552029750764,1729.449951171875,0.0
2024-02-07,1560.8638916015625,1693.75,1729.0,1686.8499755859375,1729.0,4613877,-0.020642373112725654,1639.9099914550782,,,0.021863391728681507,1729.449951171875,-0.02064237311272565
2024-02-08,1559.3431396484375,1692.0999755859375,1706.3499755859375,1682.800048828125,1698.0,5919715,-0.000974184155904112,1648.0499877929688,,,0.02191099005757753,1729.449951171875,-0.021596447795803032
2024-02-09,1538.378173828125,1669.3499755859375,1692.9000244140625,1659.800048828125,1684.699951171875,4600004,-0.013444832059714584,1655.5224853515624,,,0.022170745312266038,1729.449951171875,-0.03475091924181661
2024-02-12,1548.2847900390625,1680.0999755859375,1692.949951171875,1670.3499755859375,1670.3499755859375,3555808,0.006439632286349584,1664.8174865722656,,,0.02156694008435408,1729.449951171875,-0.028535070096997003
2024-02-13,1552.3857421875,1684.550048828125,1689.0999755859375,1663.5,1683.0,2696481,0.0026486954983946376,1668.407489013672,,,0.012958124250250532,1729.449951171875,-0.02596195531031461
2024-02-14,1535.4752197265625,1666.199951171875,1669.449951171875,1635.5,1660.199951171875,3768579,-0.010893174512099257,1669.1124877929688,,,0.012163142970654931,1729.449951171875,-0.03657232171254323
2024-02-15,1544.8287353515625,1676.3499755859375,1687.75,1661.5999755859375,1677.0,4834391,0.006091720508648368,1671.3524841308595,,,0.011827207443812887,1729.449951171875,-0.03070338956612012
2024-02-16,1568.14404296875,1701.6500244140625,1709.0,1687.949951171875,1689.0,4880654,0.015092343005094655,1674.4249877929688,,,0.01219321895786478,1729.449951171875,-0.016074432647776405
2024-02-19,1566.3931884765625,1699.75,1711.5,1687.699951171875,1705.0,3690993,-0.001116577666854135,1677.282489013672,,,0.01221183720848942,1729.449951171875,-0.01717306196212866
2024-02-20,1553.0306396484375,1685.25,1694.25,1668.75,1685.0,3706389,-0.008530666274452092,1678.5849914550781,,,0.012254214846319892,1729.449951171875,-0.025557230576071382
2024-02-21,1525.6610107421875,1655.550048828125,1674.0,1645.300048828125,1674.0,4300508,-0.01762346902351286,1679.2549926757813,,,0.012707095480619006,1729.449951171875,-0.04273029253820004
2024-02-22,1549.436767578125,1681.3499755859375,1684.5999755859375,1644.4000244140625,1665.0,5841277,0.01558390021254552,1679.552490234375,,,0.0123634314413077,1729.449951171875,-0.027812296940622632
2024-02-23,1545.2896728515625,1676.8499755859375,1698.449951171875,1671.9000244140625,1697.0,5373072,-0.0026764207722023148,1679.939990234375,,,0.012347293631330799,1729.449951171875,-0.030414280303570372
