Stock,Sector,Annualized_Return,Annualized_Volatility,Maximum_Drawdown,Sharpe_Ratio
TCS,IT,-0.06724054626221217,0.20519798432092998,-0.3657096014617074,-0.6200867259164092
INFY,IT,0.04945282517933468,0.24082770431169975,-0.3015202109789176,-0.04379552116235874
HDFCBANK,Banking,0.09759051995583387,0.192453025461129,-0.1854216533957438,0.19532309178182433
ICICIBANK,Banking,0.16810293284007763,0.1863516945627794,-0.1129920421405816,0.5801016894088892
RELIANCE,Energy,0.1208920526728382,0.2128456434140484,-0.2742207466457352,0.286085501662747
SUNPHARMA,Healthcare,0.17795992545157113,0.19679188241788464,-0.1977728290658523,0.5994145896784756
