Date,Adj Close,Close,High,Low,Open,Volume
2024-01-01,1429.635986328125,1551.3499755859375,1557.0,1535.25,1539.0,2808451
2024-01-02,1414.0159912109375,1534.4000244140625,1549.1500244140625,1523.0,1546.0,5396313
2024-01-03,1373.099365234375,1490.0,1519.949951171875,1488.0,1519.949951171875,7550363
2024-01-04,1394.018310546875,1512.699951171875,1519.75,1492.9000244140625,1504.949951171875,7056038
2024-01-05,1412.3111572265625,1532.550048828125,1539.699951171875,1506.25,1506.75,8895403
2024-01-08,1403.3260498046875,1522.800048828125,1536.0,1513.25,1528.949951171875,4440136
2024-01-09,1409.3160400390625,1529.300048828125,1553.0,1525.8499755859375,1541.9000244140625,4412074
2024-01-10,1400.6534423828125,1519.9000244140625,1535.449951171875,1505.0,1524.949951171875,4096845
2024-01-11,1376.9698486328125,1494.199951171875,1525.0,1486.5999755859375,1524.9000244140625,11296088
2024-01-12,1486.2188720703125,1612.75,1618.0,1555.4000244140625,1562.0,26754401
2024-01-15,1522.4815673828125,1652.0999755859375,1664.949951171875,1636.0,1644.949951171875,13228305
2024-01-16,1503.543701171875,1631.550048828125,1648.5,1625.0,1644.800048828125,6500917
2024-01-17,1511.5150146484375,1640.199951171875,1647.5,1620.25,1620.25,9209876
2024-01-18,1513.7269287109375,1642.5999755859375,1649.0,1628.25,1642.6500244140625,6375464
2024-01-19,1529.0244140625,1659.199951171875,1665.5,1644.1500244140625,1651.5999755859375,4522736
2024-01-23,1513.3121337890625,1642.1500244140625,1674.699951171875,1637.699951171875,1650.0999755859375,9401255
2024-01-24,1543.9534912109375,1675.4000244140625,1680.0,1645.0,1659.9000244140625,8999681
2024-01-25,1538.147705078125,1669.0999755859375,1680.550048828125,1658.0,1672.949951171875,8865304
2024-01-29,1526.62841796875,1656.5999755859375,1679.3499755859375,1647.5999755859375,1665.1500244140625,4253785
2024-01-30,1521.8824462890625,1651.449951171875,1690.0,1648.25,1662.449951171875,4995943
2024-01-31,1530.591064453125,1660.9000244140625,1667.25,1638.0999755859375,1648.25,6763779
2024-02-01,1527.0433349609375,1657.050048828125,1677.0,1650.3499755859375,1659.550048828125,5760011
2024-02-02,1560.495361328125,1693.3499755859375,1718.5,1665.0,1666.050048828125,7858483
2024-02-05,1554.8277587890625,1687.199951171875,1700.75,1681.8499755859375,1694.75,3634135
2024-02-06,1593.762939453125,1729.449951171875,1733.0,1673.949951171875,1686.75,7694265
2024-02-07,1560.8638916015625,1693.75,1729.0,1686.8499755859375,1729.0,4613877
2024-02-08,1559.3431396484375,1692.0999755859375,1706.3499755859375,1682.800048828125,1698.0,5919715
2024-02-09,1538.378173828125,1669.3499755859375,1692.9000244140625,1659.800048828125,1684.699951171875,4600004
2024-02-12,1548.2847900390625,1680.0999755859375,1692.949951171875,1670.3499755859375,1670.3499755859375,3555808
2024-02-13,1552.3857421875,1684.550048828125,1689.0999755859375,1663.5,1683.0,2696481
2024-02-14,1535.4752197265625,1666.199951171875,1669.449951171875,1635.5,1660.199951171875,3768579
2024-02-15,1544.8287353515625,1676.3499755859375,1687.75,1661.5999755859375,1677.0,4834391
2024-02-16,1568.14404296875,1701.6500244140625,1709.0,1687.949951171875,1689.0,4880654
2024-02-19,1566.3931884765625,1699.75,1711.5,1687.699951171875,1705.0,3690993
