Date,Adj Close,Close,High,Low,Open,Volume
2024-01-01,812.9945068359375,849.0499877929688,854.5750122070312,846.0,853.0,14239686
2024-01-02,813.4733276367188,849.5499877929688,851.4000244140625,844.3499755859375,849.4000244140625,29242092
2024-01-03,800.9295654296875,836.4500122070312,852.3499755859375,834.4749755859375,851.0,28389762
2024-01-04,809.5235595703125,845.4249877929688,847.4749755859375,835.3499755859375,839.0,26734056
2024-01-05,805.3822021484375,841.0999755859375,852.4500122070312,834.0499877929688,843.5750122070312,31889470
2024-01-08,796.4052124023438,831.7249755859375,841.1749877929688,830.0,839.25,17998470
2024-01-09,790.2052612304688,825.25,838.9000244140625,823.375,833.5750122070312,25326888
2024-01-10,792.8145141601562,827.9749755859375,829.9749755859375,820.7000122070312,821.5,16115824
2024-01-11,789.4871215820312,824.5,831.4500122070312,821.5,830.0,18314010
2024-01-12,785.752685546875,820.5999755859375,828.0,816.7999877929688,826.0,19773552
2024-01-15,800.8817138671875,836.4000244140625,840.4500122070312,821.7999877929688,823.8499755859375,28320356
2024-01-16,803.9219360351562,839.5750122070312,841.8250122070312,829.0499877929688,836.5,25322500
2024-01-17,736.1044921875,768.75,798.4000244140625,764.2000122070312,785.0,170145236
2024-01-18,711.5198974609375,743.0750122070312,757.5,740.0250244140625,747.0,161070930
2024-01-19,704.0989379882812,735.3250122070312,755.125,734.2000122070312,752.9749755859375,109600538
2024-01-23,683.368408203125,713.6749877929688,737.3499755859375,712.5,732.5,115469402
2024-01-24,697.037109375,727.9500122070312,729.2249755859375,690.125,690.125,86004404
2024-01-25,686.9830932617188,717.4500122070312,728.6749877929688,709.7000122070312,726.25,98941852
2024-01-29,696.438720703125,727.3250122070312,731.4000244140625,722.9000244140625,724.0250244140625,65645498
2024-01-30,691.4834594726562,722.1500244140625,731.5999755859375,720.4500122070312,727.2750244140625,41728768
2024-01-31,700.220947265625,731.2750244140625,737.4749755859375,718.4000244140625,719.75,65761040
2024-02-01,702.0402221679688,733.1749877929688,736.7999877929688,728.0250244140625,732.5250244140625,32690740
2024-02-02,692.3692016601562,723.0750122070312,740.4249877929688,721.0250244140625,737.5,44867754
2024-02-05,691.7467651367188,722.4249877929688,725.9500122070312,717.0250244140625,723.0,38605046
2024-02-06,691.3876953125,722.0499877929688,724.8499755859375,716.2999877929688,722.7750244140625,41075740
2024-02-07,684.6130981445312,714.9749755859375,726.9000244140625,713.3250122070312,726.5,54837086
